股票名稱,佔比,圖檔,總體趨勢分析,支撐位與阻力位,結合技術指標,技術型態,投資決策建議
大統益,149.5,https://biung-od.github.io/personal/image/1232.png,長期趨勢呈現震盪整理，短期趨勢有下降跡象,主要支撐位在146.7，主要阻力位在152.0，突破點可能在150.0附近,MACD指標顯示動能減弱，RSI指標在中性區域，布林帶顯示波動性增加，量價關係顯示成交量增加但價格下降,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議觀察150.0附近的支撐位，若跌破可考慮賣出，注意市場波動性和成交量變化
聯華,48.85,https://biung-od.github.io/personal/image/1229.png,長期趨勢呈現下降趨勢，短期趨勢呈現下降趨勢,主要支撐位在45.00，主要阻力位在45.50，突破點在2025年3月,MACD顯示空頭趨勢，RSI顯示超賣，布林帶顯示波動加劇，量價關係顯示成交量增加伴隨價格下跌,未出現頭肩型態或雙底，趨勢反轉可能性低,建議賣出，注意市場波動風險
大成,53.6,https://biung-od.github.io/personal/image/1210.png,長期趨勢呈現上升趨勢，短期趨勢有波動但呈現上升跡象,主要支撐位在58.00，主要阻力位在59.00，突破點在58.40附近,MACD顯示多頭趨勢，RSI在70左右，布林帶顯示價格在上軌附近，量價關係顯示成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在突破59.00時買入，在跌破58.00時賣出，注意市場波動和政策風險
卜蜂,135.0,https://biung-od.github.io/personal/image/1215.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在45.00，主要阻力位在45.45，突破點在45.00附近，轉折點在45.45附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議賣出，注意價格可能繼續下跌的風險
統一,76.7,https://biung-od.github.io/personal/image/1216.png,長期趨勢呈現上升趨勢，短期趨勢顯示震盪整理,主要支撐位在60.5，主要阻力位在62.5，突破點在61.7附近,MACD顯示多頭趨勢，RSI在中性偏高區域，布林帶顯示價格接近上軌波動，量價關係顯示近期成交量穩定,未出現明顯的頭肩型態或雙底型態，整體型態顯示趨勢保持穩定上升,建議在支撐位附近買入，在阻力位附近賣出，注意市場短期波動和長期上升的持續性
興農,42.05,https://biung-od.github.io/personal/image/1712.png,長期趨勢呈現上升趨勢，但短期趨勢顯示下降趨勢,主要支撐位在40.65，主要阻力位在42.46，突破點在40.80附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示近期成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議觀察40.65支撐位，若跌破可考慮賣出，注意近期價格波動和成交量變化
聯華食,135.0,https://biung-od.github.io/personal/image/1231.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在130.5，主要阻力位在134.5，突破點在2024年7月，轉折點在2025年3月,MACD顯示多頭趨勢，RSI在高位，布林帶顯示價格波動加劇，量價關係顯示成交量增加伴隨價格上升,出現頭肩型態，雙底型態，推測可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和政策變動機會
佳格,30.25,https://biung-od.github.io/personal/image/1227.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在33.00，主要阻力位在33.85，突破點在33.35附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加伴隨價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察是否突破33.35阻力位，若突破可考慮買入，若未突破則建議賣出，注意市場波動風險
中華食,89.2,https://biung-od.github.io/personal/image/4205.png,長期趨勢為下降趨勢，短期趨勢有反彈跡象,主要支撐位在91.4，主要阻力位在95.4，突破點在92.2附近,MACD顯示短期內有反彈跡象，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示近期有買盤進場,未見明顯的頭肩型態或雙底型態，短期內可能有反彈但長期趨勢仍偏空,建議短期內可考慮逢低買入，但需注意長期下降趨勢的風險，若跌破91.4需謹慎
黑松,39.50,https://biung-od.github.io/personal/image/1234.png,長期趨勢呈現下降趨勢，短期趨勢近期有急劇下跌跡象,主要支撐位在38.55，主要阻力位在39.70，突破點在2024年中期附近,MACD顯示出近期有明顯的死叉，RSI顯示超賣狀態，布林帶顯示價格在下軌附近波動，量價關係顯示近期成交量增加但價格下跌,出現頭肩頂型態，並在2025年初有趨勢反轉跡象,建議在價格接近支撐位時考慮買入，接近阻力位時考慮賣出，需留意急劇下跌帶來的風險以及成交量增加帶來的機會
茂生,65.8,https://biung-od.github.io/personal/image/1240.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在57.9，主要阻力位在68.0，突破點在65.0附近,MACD顯示多頭趨勢，RSI在70以上顯示超買，布林帶顯示價格在上軌附近，量價關係顯示成交量增加伴隨價格上升,出現了多頭排列，沒有明顯的頭肩型態或雙底,建議在突破阻力位後買入，注意短期波動風險
杏昌,139.5,https://biung-od.github.io/personal/image/1788.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在142.1，主要阻力位在143.2，突破點在142.5附近,MACD顯示短期反彈，RSI在中性區域，布林帶顯示波動加劇，量價關係顯示近期交易量增加,未出現明顯的頭肩型態或雙底，可能有短期反彈但長期趨勢仍偏弱,建議短期內觀察反彈力度，長期投資需謹慎，注意市場波動和潛在風險
生達,56.4,https://biung-od.github.io/personal/image/1720.png,長期趨勢顯示下降，短期趨勢有反彈跡象,主要支撐位在57.8，主要阻力位在59.5，突破點在58.0附近,MACD顯示近期有黃金交叉，RSI從超賣區域反彈至中性區域，布林帶顯示價格沿下軌震盪且波動擴大，量價關係顯示近期成交量增加伴隨價格反彈,未出現明顯的頭肩型態或雙底，但有潛在反轉跡象,建議在價格突破58.0時可考慮買入，並在接近阻力位59.5時賣出，需密切注意支撐位57.8的表現，若跌破可能進一步下跌
中化,33.90,https://biung-od.github.io/personal/image/3716.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在34.30，主要阻力位在35.73，突破點在34.75附近,MACD顯示短期反彈，RSI接近超賣區，布林帶顯示波動加大，量價關係顯示近期成交量增加,未見明顯頭肩型態或雙底，可能出現短期反彈,建議短期內觀察反彈力度，若突破35.73可考慮買入，若跌破34.30需謹慎，注意市場波動風險
太醫,90.5,https://biung-od.github.io/personal/image/4126.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升趨勢中,主要支撐位在92.0，主要阻力位在93.5，突破點在93.5附近，轉折點在92.0附近,MACD顯示多頭趨勢，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示成交量增加時價格上升,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和成交量變化
中聯資,71.8,https://biung-od.github.io/personal/image/9930.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在60.8，主要阻力位在68.8，突破點在2024年8月，轉折點在2025年4月,MACD顯示多頭趨勢，RSI在50-70之間，布林帶顯示價格在中軌上方，量價關係顯示成交量隨價格上升而增加,出現多次頭肩型態和雙底型態，可能預示趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和政策變動機會
佳醫,87.0,https://biung-od.github.io/personal/image/4104.png,長期趨勢呈現震盪整理，短期趨勢近期有下跌跡象,主要支撐位在88.4，主要阻力位在89.3，突破點在89.3，轉折點在88.4,MACD顯示空頭趨勢，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示近期賣壓增加,未出現明顯的頭肩型態或雙底，無法推測即將發生趨勢反轉,建議觀察88.4支撐位，若跌破可考慮賣出，若突破89.3可考慮買入，注意近期波動性增加的風險
邦特,117.0,https://biung-od.github.io/personal/image/4107.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在115.0，主要阻力位在120.6，突破點在116.5附近,MACD顯示近期有下跌趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議觀察115.0支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險
健喬,35.40,https://biung-od.github.io/personal/image/4114.png,長期趨勢呈現震盪整理，短期趨勢呈現下降趨勢,主要支撐位在31.20，主要阻力位在31.40，突破點在31.25附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加但價格下跌,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議觀察31.20支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意短期內的波動風險
中興電,168.0,https://biung-od.github.io/personal/image/1513.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在125.0，主要阻力位在133.9，突破點在126.0附近,MACD顯示出現低位金叉，RSI在低位徘徊，布林帶顯示價格在下軌附近波動，量價關係顯示近期成交量增加但價格波動較小,出現了多個頭肩型態和雙底型態，可能即將發生趨勢反轉,建議在126.0附近買入，133.9附近賣出，注意短期內的價格波動和成交量变化
臺慶科,125.0,https://biung-od.github.io/personal/image/3357.png,長期趨勢呈現上升趨勢，但短期趨勢顯示下降趨勢,主要支撐位在92.0，主要阻力位在94.2，突破點在93.0附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的波動風險
惠普,73.0,https://biung-od.github.io/personal/image/8424.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在70.3，主要阻力位在71.0，突破點在70.4附近,MACD顯示短期內有反彈跡象，RSI在低位徘徊，布林帶顯示波動較大，量價關係顯示近期交易量增加,未出現明顯的頭肩型態或雙底，可能有短期反彈,建議短期內觀察反彈力度，長期仍需謹慎，注意交易量變化及技術指標的配合
華固,97.9,https://biung-od.github.io/personal/image/2548.png,長期趨勢呈現上升趨勢，但近期有下降趨勢的跡象,主要支撐位在100.0，主要阻力位在102.5，突破點在102.0附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期交易量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議觀察102.0的突破情況，若突破可考慮買入，若未突破則需謹慎，注意近期波動加劇的風險
根基,79.4,https://biung-od.github.io/personal/image/2546.png,長期趨勢呈現上升趨勢，短期趨勢呈現波動但有下降趨勢的跡象,主要支撐位在78.1，主要阻力位在78.7，突破點在2024年1月，轉折點在2024年4月,MACD顯示多次交叉，RSI顯示超買和超賣情況，布林帶顯示價格波動範圍，量價關係顯示成交量在高點時增加,出現頭肩型態和雙底型態，可能推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和技術指標的變化
潤弘,152.0,https://biung-od.github.io/personal/image/2597.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在約172.1，主要阻力位在約177.0，突破點在約177.0，轉折點在約168.5,MACD顯示多頭趨勢，RSI在中高區域，布林帶顯示價格在中上軌之間，量價關係顯示成交量隨價格上升而增加,未見明顯的頭肩型態或雙底，技術型態顯示價格在上升通道中,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險
達欣工,59.0,https://biung-od.github.io/personal/image/2535.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在48.88，主要阻力位在53.1，突破點在52.9附近,MACD顯示多頭趨勢，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示成交量增加,未出現明顯的頭肩型態或雙底，技術型態顯示價格可能繼續上升,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險
台泥,23.00,https://biung-od.github.io/personal/image/1101.png,長期趨勢呈現下降趨勢，短期趨勢波動較大但仍呈現下降趨勢,主要支撐位在28.95，主要阻力位在29.30，突破點在29.24附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議觀察是否突破支撐位或阻力位，注意短期波動風險和長期下降趨勢
巨路,112.5,https://biung-od.github.io/personal/image/6192.png,長期趨勢呈現上升趨勢，但短期趨勢顯示下降趨勢,主要支撐位在97.5，主要阻力位在103.2，突破點在98.6附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格波動加劇,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的價格波動和潛在的風險
長榮鋼,90.4,https://biung-od.github.io/personal/image/2211.png,長期趨勢呈現上升趨勢，但短期趨勢呈現下降趨勢,主要支撐位在79.3，主要阻力位在80.8，突破點在79.6附近,MACD顯示短期內有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動性增加，量價關係顯示近期交易量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議等待價格突破支撐位或阻力位後再做決策，注意短期內的波動性和潛在風險
崑鼎,286.5,https://biung-od.github.io/personal/image/6803.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在277.1，主要阻力位在285.3，突破點在284.0附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動加劇，量價關係顯示成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察反彈力度，若突破阻力位可考慮買入，注意市場波動風險
可寧衛,197.5,https://biung-od.github.io/personal/image/8422.png,長期趨勢呈現震盪走勢，短期趨勢有上升和下降的波動,主要支撐位在180.0附近，主要阻力位在182.5附近，突破點在182.5，轉折點在180.0,MACD顯示近期有下跌趨勢，RSI在中性區域，布林帶顯示波動較大，量價關係顯示成交量在高點時增加,未見明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險
櫻花,86.5,https://biung-od.github.io/personal/image/9911.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在高位,主要支撐位在77.8，主要阻力位在84.0，突破點在84.0附近，轉折點在83.4附近,MACD顯示多頭趨勢，RSI在高位，布林帶顯示價格在上軌附近，量價關係顯示成交量增加伴隨價格上升,出現多次頭肩型態，雙底型態不明顯，可能有趨勢反轉跡象,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險和長期上升機會
日友,74.3,https://biung-od.github.io/personal/image/8341.png,長期趨勢為下降趨勢，短期趨勢為下降趨勢,主要支撐位在76.7，主要阻力位在77.6，突破點在77.6，轉折點在76.7,MACD顯示空頭趨勢，RSI顯示超賣，布林帶顯示價格在下軌附近，量價關係顯示成交量減少,未出現頭肩型態或雙底，無明顯技術型態，無趨勢反轉跡象,建議賣出，注意潛在風險包括價格進一步下跌
崇友,128.0,https://biung-od.github.io/personal/image/4506.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在高位,主要支撐位在105.0，主要阻力位在105.5，突破點在105.5附近，轉折點在105.0附近,MACD顯示多頭趨勢，RSI在高位，布林帶顯示波動加劇，量價關係顯示成交量在高位時價格上升,出現頭肩型態，雙底型態不明顯，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和成交量變化
鋼聯,109.0,https://biung-od.github.io/personal/image/6581.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在98.0，主要阻力位在101.0，突破點在99.7附近,MACD顯示動能減弱，RSI顯示超賣狀態，布林帶顯示波動性增加，量價關係顯示成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察短期趨勢反轉跡象，注意市場波動風險，機會可能在低位時買入
捷流閥業,80.6,https://biung-od.github.io/personal/image/4580.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在82.0，主要阻力位在83.8，突破點在83.2，轉折點在83.1,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加伴隨價格下跌,出現頭肩型態，推測即將發生趨勢反轉,建議賣出，注意潛在的風險包括價格進一步下跌的可能性
茂順,111.0,https://biung-od.github.io/personal/image/9942.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在112.2，主要阻力位在114.5，突破點在112.5附近,MACD顯示短期反彈，RSI在低位徘徊，布林帶顯示波動加劇，量價關係顯示近期交易量增加,出現頭肩型態，可能有反轉趨勢,建議觀察112.2支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險
世豐,31.95,https://biung-od.github.io/personal/image/2065.png,短期趨勢呈現下降趨勢，長期趨勢相對平穩但有下降跡象,主要支撐位在40.25，主要阻力位在40.50，突破點在多次短期波動中出現,MACD顯示空頭趨勢延續，RSI處於超賣區，布林帶顯示波動性增加，量價關係顯示賣壓增強,未明顯出現頭肩型態或雙底，短期內有多次反轉跡象,建議密切觀察40.25支撐位，若跌破支撐位可減倉或觀望，注意近期市場波動風險
永記,75.4,https://biung-od.github.io/personal/image/1726.png,長期趨勢呈現上升趨勢，短期趨勢顯示波動但有下降跡象,主要支撐位在73.0，主要阻力位在74.9，突破點在74.2附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察支撐位73.0，若跌破可考慮賣出，若突破阻力位74.9則可視為買入機會，注意短期內波動風險
永豐實,39.20,https://biung-od.github.io/personal/image/6790.png,長期趨勢為下降趨勢，短期趨勢為震盪整理,主要支撐位在42.10，主要阻力位在42.57，突破點在42.57，轉折點在42.10,MACD顯示空頭趨勢，RSI在50附近震盪，布林帶收縮，量價關係顯示成交量減少,出現頭肩型態，可能即將發生趨勢反轉,建議觀察42.10支撐位，若跌破可考慮賣出，若突破42.57可考慮買入，注意市場波動風險
中租-KY,116.0,https://biung-od.github.io/personal/image/5871.png,長期趨勢為下降趨勢，短期趨勢為波動下降趨勢,主要支撐位在112.0，主要阻力位在116.7，突破點在114.0，轉折點在111.0,MACD顯示下降趨勢，RSI顯示超賣狀態，布林帶顯示波動性增加，量價關係顯示賣壓較大,出現頭肩型態，可能即將發生趨勢反轉,建議賣出，注意市場波動風險和潛在反彈機會
裕融,106.0,https://biung-od.github.io/personal/image/9941.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在104.6，主要阻力位在108.4，突破點在107.5附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動加劇，量價關係顯示賣壓較大,出現頭肩型態，雙底型態不明顯，可能有趨勢反轉跡象,建議觀察107.5附近的突破情況，注意短期反彈的風險和機會
和潤,69.1,https://biung-od.github.io/personal/image/6592.png,長期趨勢為下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在67.0，主要阻力位在68.0，突破點在67.0附近，轉折點在67.0附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加，價格下降,未出現頭肩型態或雙底，無明顯技術型態，無法推測即將發生趨勢反轉,建議賣出，潛在風險為價格繼續下跌，機會為價格反彈
兆豐金,40.25,https://biung-od.github.io/personal/image/2886.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升趨勢中,主要支撐位在37.10，阻力位在37.65，突破點在37.55附近,MACD顯示多頭趨勢，RSI在50以上，布林帶顯示價格在中軌上方，量價關係顯示成交量增加伴隨價格上升,出現多次頭肩型態，短期內可能出現趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險
台中銀,21.45,https://biung-od.github.io/personal/image/2812.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍維持上升通道,主要支撐位在18.90，主要阻力位在19.50，突破點在19.50附近,MACD顯示上升動能增強，RSI位於50以上，布林帶顯示價格擴張上行，量價關係顯示成交量增加支持價格上升,出現頭肩型態，可能預示短期內趨勢反轉,建議在突破19.50後考慮買入，注意短期波動風險和市場情緒變化
台積電,"1,190",https://biung-od.github.io/personal/image/2330.png,長期趨勢呈現上升趨勢，但近期有下降趨勢的跡象,主要支撐位在850，主要阻力位在858，突破點在850附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期賣壓較大,出現頭肩型態，可能即將發生趨勢反轉,建議觀察850支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意近期波動風險
崇越,294.0,https://biung-od.github.io/personal/image/5434.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在238.0，主要阻力位在255.8，突破點在242.5，轉折點在239.0,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格波動較大，量價關係顯示近期成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位238.0附近買入，在阻力位255.8附近賣出，注意短期內的價格波動和市場情緒
中美晶,104.5,https://biung-od.github.io/personal/image/5483.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在101.0，主要阻力位在109.4，突破點在103.5附近,MACD顯示空頭趨勢，RSI處於超賣區，布林帶顯示波動性增加，量價關係顯示成交量增加,未出現明顯的頭肩型態或雙底，無法推測即將發生趨勢反轉,建議觀察短期反彈是否持續，謹慎操作，注意市場波動風險
信邦,231.0,https://biung-od.github.io/personal/image/3023.png,長期趨勢呈現下降趨勢，短期趨勢波動較大但整體仍呈現下降趨勢,主要支撐位在205.0和200.0，主要阻力位在210.5和208.2，突破點在208.0附近，轉折點在210.5附近,MACD指標顯示空頭趨勢，RSI指標顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議賣出，注意價格可能繼續下跌的風險
