股票名稱,佔比,圖檔,總體趨勢分析,支撐位與阻力位,結合技術指標,技術型態,投資決策建議
華立,100.0,https://biung-od.github.io/personal/image/3010.png,長期趨勢呈現上升趨勢，但近期有明顯的下降趨勢,主要支撐位在91.5，主要阻力位在102.1，突破點在94.5附近,MACD顯示近期有死叉，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示近期成交量增加但價格下跌,出現頭肩頂型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意近期的價格波動和成交量變化
神基,150.0,https://biung-od.github.io/personal/image/3005.png,長期趨勢呈現上升趨勢，短期內有震盪整理跡象,主要支撐位在100.0，主要阻力位在107.8，突破點在102.0附近,MACD顯示持續多頭動能，RSI顯示接近超買區域，布林帶顯示價格位於上軌附近波動加劇，量價關係顯示成交量隨價格上升而增加,未出現明顯的頭肩型態或雙底，整體型態顯示價格穩定上升,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的波動風險及市場情緒變化
晶焱,75.7,https://biung-od.github.io/personal/image/6411.png,長期趨勢呈現下降趨勢，短期趨勢仍有下降跡象,主要支撐位在69.4，主要阻力位在74.4，突破點在69.5附近,MACD顯示持續空頭趨勢，RSI接近超賣區域，布林帶顯示價格在下軌附近波動加劇，量價關係顯示成交量增加但價格下降,出現頭肩型態，顯示可能即將發生趨勢反轉,建議在支撐位附近觀察價格走勢，若突破阻力位可考慮買入，若持續下跌則需注意風險
大聯大,66.5,https://biung-od.github.io/personal/image/3702.png,長期趨勢呈現震盪整理，短期趨勢呈現下降趨勢,主要支撐位在31.20，主要阻力位在32.10，突破點在32.10附近,MACD顯示空頭趨勢，RSI在中性區域，布林帶顯示價格波動性增加，量價關係顯示成交量減少但價格下降,未出現頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察支撐位31.20，若跌破可考慮賣出，若突破阻力位32.10可考慮買入，注意短期波動風險
聯強,59.6,https://biung-od.github.io/personal/image/2347.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在68.1，主要阻力位在70.1，突破點在68.4,MACD顯示短期內有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格波動較大，量價關係顯示近期交易量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的價格波動和交易量增加
中菲,124.0,https://biung-od.github.io/personal/image/5403.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在108.6，主要阻力位在119.5，突破點在119.5，轉折點在118.1,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議在突破119.5時買入，在跌破108.6時賣出，注意近期波動加劇的風險和突破後的機會
精誠,118.5,https://biung-od.github.io/personal/image/6214.png,長期趨勢呈現上升趨勢，但短期趨勢有下降跡象,主要支撐位在116.8，主要阻力位在125.3，突破點在120附近,MACD顯示近期有下降趨勢，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示近期交易量增加,出現頭肩型態，可能即將發生趨勢反轉,建議觀察120附近的突破點，若突破可考慮買入，若未突破則需謹慎，注意近期波動性增加的風險
文曄,123.0,https://biung-od.github.io/personal/image/3036.png,長期趨勢顯示在2023年中期至2024年初有顯著上升趨勢，但在2024年中期後呈現下降趨勢，短期趨勢近期有反彈跡象但仍處於下降趨勢,主要支撐位在100.0附近，主要阻力位在102.5和105.0，突破點出現在2023年10月和2024年1月，轉折點出現在2024年3月和7月,MACD顯示在2023年10月和2024年1月有黃金交叉，RSI在該時期達到超買區，布林帶在同時期擴張並顯示波動性增加，量價關係顯示在該時期有大量買入，隨後在2024年中期有大量賣出,出現頭肩頂型態，特別在2024年初至中期，顯示可能的趨勢反轉跡象,建議支撐位100.0附近買入，阻力位102.5和105.0附近賣出，注意近期反彈的持續性以及量價關係的變化
日電貿,70.5,https://biung-od.github.io/personal/image/3090.png,長期趨勢呈現震盪上升，短期趨勢有下降跡象,主要支撐位在61.6，主要阻力位在66.8，突破點在63.0附近,MACD指標顯示近期有下降趨勢，RSI指標接近超賣區域，布林帶顯示價格在中軌附近震盪,出現了頭肩型態，可能預示趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的價格波動和市場情緒变化
關貿,98.6,https://biung-od.github.io/personal/image/6183.png,長期趨勢呈現上升趨勢，短期趨勢有回調跡象,主要支撐位在89.9，主要阻力位在91.8，突破點在90.5附近,MACD顯示多頭動能減弱，RSI在中性區域震盪，布林帶顯示波動加劇，量價關係顯示近期成交量增加但價格回調,未出現明顯的頭肩型態或雙底型態，短期內可能有回調的可能性,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動性和回調風險
零壹,125.0,https://biung-od.github.io/personal/image/3029.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在88.6，主要阻力位在116.5，突破點在2024年7月，轉折點在2025年1月,MACD顯示多頭趨勢，RSI在超買區域，布林帶顯示價格波動較大，量價關係顯示成交量在價格上升時增加,出現了頭肩型態，雙底型態不明顯，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意價格波動和成交量變化
邁達特,56.2,https://biung-od.github.io/personal/image/6112.png,長期趨勢呈現震盪上升，短期趨勢呈現下降趨勢,主要支撐位在43.00，主要阻力位在51.30，突破點在2025年4月，轉折點在2025年3月,MACD顯示近期有死叉，RSI在50附近震盪，布林帶顯示價格在中軌附近震盪，量價關係顯示近期成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意近期成交量增加可能帶來的價格波動
普萊德,144.0,https://biung-od.github.io/personal/image/6263.png,長期趨勢呈現上升趨勢，但近期有下降趨勢跡象,主要支撐位在139.5，阻力位在149.4，突破點在140.0附近,MACD顯示近期有下降趨勢，RSI在中性區域，布林帶顯示價格波動較大，量價關係顯示近期交易量增加,出現頭肩型態，可能即將發生趨勢反轉,建議觀察140.0附近的突破點，注意近期的下降趨勢和交易量增加的風險
三福化,123.0,https://biung-od.github.io/personal/image/4755.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在105.7，主要阻力位在109.4，突破點在102.0附近,MACD顯示出下降趨勢，RSI顯示出超賣狀態，布林帶顯示出波動性增加，量價關係顯示出賣壓增加,沒有明顯的頭肩型態或雙底型態，可能出現趨勢反轉,建議觀察102.0附近的突破點，賣出時機在109.4附近，注意潛在的風險包括市場波動性增加和賣壓增加
達興材,375.0,https://biung-od.github.io/personal/image/5234.png,缺失資料,缺失資料,缺失資料,缺失資料,缺失資料
桂盟,94.3,https://biung-od.github.io/personal/image/5306.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在93.1，主要阻力位在109.1，突破點在105.0附近,MACD顯示空頭趨勢，RSI接近超賣區，布林帶顯示波動加劇，量價關係顯示賣壓較重,未出現明顯的頭肩型態或雙底，可能有反彈但需觀察,建議觀察反彈力度，短期可考慮買入，長期需謹慎，注意市場波動和賣壓
中菲行,78.5,https://biung-od.github.io/personal/image/5609.png,長期趨勢呈現上升趨勢，但短期趨勢顯示下降趨勢,主要支撐位在76.0和77.0，主要阻力位在78.4和79.1，突破點在77.0附近，轉折點在76.0附近,MACD顯示近期有下跌趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期交易量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察76.0支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險和交易量變化
台驊,71.3,https://biung-od.github.io/personal/image/2636.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在71.1，主要阻力位在72.9，突破點在圖中多次出現，轉折點在2024年初和2025年初,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動加劇，量價關係顯示成交量在價格下跌時增加,圖中未出現明顯的頭肩型態或雙底，但有多次反彈和回調,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險
元大金,32.35,https://biung-od.github.io/personal/image/2885.png,長期趨勢呈現上升趨勢，但近期有下降趨勢的跡象,主要支撐位在28.94，主要阻力位在30.44，突破點在30.25附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示近期成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議觀察30.25附近的突破情況，若突破可考慮買入，若未突破則需謹慎，注意近期的市場波動和成交量变化
中信金,41.75,https://biung-od.github.io/personal/image/2891.png,長期趨勢呈現上升趨勢，短期趨勢有回調跡象,主要支撐位在36.00，阻力位在37.50，突破點在37.10，轉折點在36.60,MACD顯示動能減弱，RSI接近超賣區，布林帶顯示價格在下軌附近，量價關係顯示近期成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察36.00支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險
永豐金,23.70,https://biung-od.github.io/personal/image/2890.png,長期趨勢呈現上升趨勢，但短期趨勢顯示下降跡象,主要支撐位在20.75，主要阻力位在21.72，突破點在20.95附近,MACD顯示短期下降動能增強，RSI顯示超賣狀態，布林帶顯示價格波動擴大，量價關係顯示近期成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議突破21.72後買入，若跌破20.75則賣出，需注意短期內的波動風險和市場情緒變化
花仙子,52.5,https://biung-od.github.io/personal/image/1730.png,長期趨勢呈現下降趨勢，短期趨勢有波動但整體仍呈現下降趨勢,主要支撐位在52.0，主要阻力位在53.0，突破點在52.5附近,MACD顯示近期有下跌趨勢，RSI在低位徘徊，布林帶顯示價格波動較大，量價關係顯示成交量在價格下跌時增加,出現了頭肩型態，雙底型態不明顯，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，應注意市場波動和成交量變化
永信,56.0,https://biung-od.github.io/personal/image/3705.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升趨勢中,主要支撐位在65.0，主要阻力位在68.3，突破點在68.3附近,MACD顯示多頭趨勢，RSI在高位，布林帶顯示波動範圍擴大，量價關係顯示成交量增加伴隨價格上升,出現多次多頭型態，未見頭肩型態或雙底型態，可能持續上升,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的波動和長期的增長機會
聚鼎,41.70,https://biung-od.github.io/personal/image/6224.png,長期趨勢呈現上升趨勢，短期趨勢顯示震盪整理,主要支撐位在91.2，主要阻力位在93.8，突破點在92.5附近,MACD顯示多頭趨勢增強，RSI接近中性偏高區域，布林帶顯示價格接近上軌波動增加，量價關係顯示價格上升時成交量同步增加,未出現明顯的頭肩型態或雙底型態，整體型態顯示價格趨於穩定上升,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的波動性及中期穩定增長的可能性
世鎧,27.00,https://biung-od.github.io/personal/image/2063.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在32.51，阻力位在34.71，突破點在32.55附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動加劇，量價關係顯示賣壓較大,出現頭肩型態，可能有趨勢反轉跡象,建議觀察反彈力度，若突破阻力位可考慮買入，注意市場波動風險
泰山,18.60,https://biung-od.github.io/personal/image/1218.png,長期趨勢呈現下降趨勢，短期趨勢有小幅波動但整體仍在下降,主要支撐位在19.70，主要阻力位在20.06，突破點在19.86附近,MACD顯示空頭趨勢，RSI在中性區域，布林帶顯示波動性較大，量價關係顯示成交量在下降趨勢中有所增加,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動性和成交量變化
生泰,75.7,https://biung-od.github.io/personal/image/1777.png,長期趨勢呈現上升趨勢，但近期有下降趨勢的跡象,主要支撐位在88.0，主要阻力位在88.5，突破點在88.3附近,MACD顯示近期有下降趨勢，RSI在中性區域，布林帶顯示價格波動較大,出現了頭肩型態，可能預示趨勢反轉,建議觀察近期價格變動，若突破88.3可考慮買入，若跌破88.0需謹慎，注意市場波動風險
晟德,37.30,https://biung-od.github.io/personal/image/4123.png,長期趨勢呈現震盪走勢，短期趨勢呈現下降趨勢,主要支撐位在34.50，主要阻力位在37.62，突破點在35.50附近,MACD顯示空頭趨勢，RSI在超賣區域，布林帶顯示波動加劇，量價關係顯示賣壓增加,出現頭肩頂型態，可能發生趨勢反轉,建議觀察35.50附近的支撐位，若跌破可考慮賣出，注意市場波動風險
嘉泥,13.40,https://biung-od.github.io/personal/image/1103.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在14.70，阻力位在15.70，突破點在14.70附近,MACD顯示空頭趨勢，RSI在超賣區域，布林帶顯示價格在下軌附近，量價關係顯示成交量增加但價格下降,出現了頭肩型態，可能即將發生趨勢反轉,建議觀察14.70支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險
福壽,13.60,https://biung-od.github.io/personal/image/1219.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在58.0，主要阻力位在60.0，突破點在58.0附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示價格在下軌附近波動，量價關係顯示成交量在下跌中有所增加,出現頭肩型態，可能有趨勢反轉的跡象,建議觀察支撐位58.0，若跌破可考慮賣出，若價格反彈且突破60.0可考慮買入，需注意市場的波動性和交易風險
凌群,62.7,https://biung-od.github.io/personal/image/2453.png,長期趨勢呈現震盪整理，短期趨勢有回調跡象,主要支撐位在85.00，主要阻力位在87.35，突破點在86.50附近,MACD顯示回調趨勢，RSI顯示超賣狀態，布林帶顯示波動增加，量價關係顯示近期成交量增大但價格下降,未出現明顯的頭肩型態或雙底，短期可能有反彈跡象,建議密切關注支撐位85.00，若跌破支撐位可減倉，若突破阻力位可考慮買入，注意波動風險
旭富,59.8,https://biung-od.github.io/personal/image/4119.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在69.0，主要阻力位在71.0，突破點在70.2附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加但價格下降,出現頭肩型態，可能出現趨勢反轉,建議賣出，注意價格持續下降的風險
承業醫,47.60,https://biung-od.github.io/personal/image/4164.png,長期趨勢呈現下降趨勢，短期趨勢有波動但整體維持下降通道,主要支撐位在43.30，主要阻力位在47.23，突破點在2025年3月附近,MACD顯示持續空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近並波動加劇，量價關係顯示成交量增加但價格下降,出現頭肩型態，趨勢反轉可能性較高,建議密切觀察支撐位43.30，若跌破可考慮賣出，若價格有反彈可留意市場波動風險
盛弘,25.95,https://biung-od.github.io/personal/image/8403.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在27.11，主要阻力位在27.80，突破點在27.25附近,MACD顯示短期內有反彈跡象，RSI在低位徘徊，布林帶顯示價格波動較大，量價關係顯示近期成交量增加,未出現明顯的頭肩型態或雙底型態，短期內可能有反彈趨勢,建議短期內觀察反彈力度，若突破27.25可考慮買入，注意27.80阻力位，潛在風險是價格可能再次回落至27.11
新鼎,153.5,https://biung-od.github.io/personal/image/5209.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在130.0，主要阻力位在142.4，突破點在135.0附近,MACD顯示下降動能減弱有反彈跡象，RSI顯示超賣區域，布林帶顯示價格接近下軌，量價關係顯示近期成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議觀察135.0的突破情況，若跌破130.0則考慮減倉，若突破142.4則可視為買入機會，注意短期波動風險
凡甲,254.0,https://biung-od.github.io/personal/image/3526.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在218.6，主要阻力位在231.5，突破點在227.0附近,MACD顯示近期有下跌趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期賣壓較大,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議觀察227.0附近的突破情況，注意短期內的賣壓和波動風險
京城銀,55.6,https://biung-od.github.io/personal/image/2809.png,長期趨勢呈現上升趨勢，但近期有下降趨勢的跡象,主要支撐位在46.83，阻力位在47.54，突破點在47.10附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期交易量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議觀察47.10附近的突破點，若突破可考慮買入，若未突破則需謹慎，注意近期交易量增加可能帶來的波動風險
信紘科,277.5,https://biung-od.github.io/personal/image/6667.png,長期趨勢呈現上升趨勢，短期趨勢有回調跡象,主要支撐位在177.1，主要阻力位在187.3，突破點在178.0附近,MACD顯示回調趨勢，RSI處於中性區域，布林帶顯示波動幅度較大，量價關係顯示近期成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議觀察突破阻力位的可能性，若回落至支撐位可考慮買入，注意市場波動風險
開發金,15.70,https://biung-od.github.io/personal/image/2883.png,長期趨勢呈現上升趨勢，短期趨勢近期有回調跡象,主要支撐位在14.99，主要阻力位在15.75，突破點在15.75附近,MACD顯示近期有回調，RSI接近超賣區，布林帶顯示價格在中軌附近波動，量價關係顯示近期成交量增加,未出現明顯的頭肩型態或雙底型態，可能有短期反轉跡象,建議在支撐位附近買入，阻力位附近賣出，注意短期回調風險
美吾華,21.65,https://biung-od.github.io/personal/image/1731.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在18.5，主要阻力位在19.8，突破點在18.9附近,MACD顯示空頭趨勢減弱，RSI顯示價格正在反彈至中性區域，布林帶顯示價格從下軌回升至中軌，量價關係顯示成交量增加伴隨價格反彈,未出現明顯的頭肩型態或雙底型態，但短期內可能有反彈趨勢,建議在支撐位附近買入，在阻力位附近賣出，注意短期市場波動及反彈力度
南僑,39.35,https://biung-od.github.io/personal/image/1702.png,長期趨勢呈現下降趨勢，短期趨勢也顯示下降趨勢,主要支撐位在44.00，主要阻力位在45.45，突破點在45.10附近,MACD顯示空頭趨勢，RSI在超賣區域，布林帶顯示波動性增加，量價關係顯示賣壓較大,未出現頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察是否能突破45.10阻力位，潛在風險是價格可能進一步下跌至42.00
漢科,141.0,https://biung-od.github.io/personal/image/3402.png,長期趨勢呈現下降趨勢，短期趨勢呈現震盪整理,主要支撐位在82.7，主要阻力位在85.9，突破點在84.1附近,MACD顯示空頭趨勢增強，RSI顯示在中性區域震盪，布林帶顯示波動性增加，量價關係顯示成交量增加但價格震盪,未出現明顯的頭肩型態或雙底型態，但可能有趨勢反轉的跡象,建議觀察阻力位85.9的突破情況，若突破可視為買入信號，若跌破支撐位82.7則需謹慎操作，注意市場短期波動風險
長榮航太,184.0,https://biung-od.github.io/personal/image/2645.png,長期趨勢呈現下降趨勢，短期趨勢有波動但整體仍呈下降趨勢,主要支撐位在99.1，主要阻力位在101.0，突破點在2024年4月，轉折點在2025年4月,MACD顯示多次交叉，RSI在2024年4月達到高點，布林帶顯示價格波動範圍，量價關係顯示交易量在高點時增加,出現了多次頭肩型態和雙底型態，推測即將發生趨勢反轉的可能性較低,建議在支撐位附近買入，在阻力位附近賣出，應注意市場波動和交易量的變化
耕興,176.0,https://biung-od.github.io/personal/image/6146.png,長期趨勢呈現上升趨勢，但短期趨勢有整理跡象,主要支撐位在25.8，主要阻力位在27.3，突破點在26.5附近,MACD顯示多頭動能增強，RSI處於中性偏高區域，布林帶顯示價格接近上軌波動增加，量價關係顯示價格上升時成交量同步增加,未出現明顯的頭肩型態或雙底型態，整體型態顯示持續上升動能,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的波動性及整體趨勢變化
資通,51.4,https://biung-od.github.io/personal/image/2471.png,長期趨勢呈現震盪整理，短期趨勢有上升和下降交替的跡象,主要支撐位在58.0，主要阻力位在62.3，突破點在59.7附近,MACD顯示多空交替，RSI在50附近震盪，布林帶收縮後擴張，量價關係顯示成交量在高點時增加,出現多次頭肩型態和雙底，可能有趨勢反轉跡象,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和突破機會
大盤,"24,519.90",https://biung-od.github.io/personal/image/IX0142.png,長期趨勢呈現上升趨勢，短期趨勢近期有急劇下降的跡象,主要支撐位在6610.94，主要阻力位在6756.09，突破點在6719.07附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格波動較大，量價關係顯示近期成交量增加,未出現明顯的頭肩型態或雙底，近期可能有趨勢反轉的跡象,建議觀察6719.07附近的突破情況，注意短期內的急劇波動可能帶來的風險和機會
50,53.00,https://biung-od.github.io/personal/image/0050.png,長期趨勢呈現上升趨勢，但近期有回調跡象,主要支撐位在160.04，阻力位在161.36，突破點在161.80附近,MACD顯示近期有死叉，RSI接近超賣區，布林帶顯示波動加大,出現多次頭肩型態，近期可能有趨勢反轉,建議觀察160.04支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意近期波動風險
三商餐飲,43.70,https://biung-od.github.io/personal/image/7705.png,長期趨勢下降，短期趨勢下行壓力較大,主要支撐位在59.5，阻力位在60.0，突破點在59.5附近,MACD顯示空頭趨勢延續，RSI接近超賣區，布林帶顯示價格波動幅度擴大,未出現明顯頭肩型態或雙底，難以推測趨勢反轉,建議密切觀察支撐位，若跌破59.5建議減倉，短期內風險較高，需注意市場變動
中保科,112.0,https://biung-od.github.io/personal/image/9917.png,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在114 TWD，主要阻力位在117 TWD，突破點在114 TWD,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示近期成交量增加,沒有明顯的頭肩型態或雙底，近期可能有趨勢反轉,建議觀察114 TWD支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險
